geometry,id,S_US_Inundation_Ar,S_DS_Inundation_Ar,S_Lev_Inundation_Ar,S_Inc_Flood_Scen_Ar,dist_to_S_Levee_Ln,dist_to_S_RM_Dams_Pt,elevation_m,longitude,latitude
POINT (-77.87299999999958 34.190999999999995),207,False,False,False,False,1000000.0,1000000.0,0,-77.87299999999958,34.190999999999995
POINT (-77.87199999999957 34.190999999999995),208,False,False,False,False,1000000.0,1000000.0,0,-77.87199999999957,34.190999999999995
POINT (-77.87099999999957 34.190999999999995),209,False,False,False,False,1000000.0,1000000.0,0,-77.87099999999957,34.190999999999995
POINT (-77.86999999999956 34.190999999999995),210,False,False,False,False,1000000.0,1000000.0,0,-77.86999999999956,34.190999999999995
POINT (-77.86899999999956 34.190999999999995),211,False,False,False,False,1000000.0,1000000.0,0,-77.86899999999956,34.190999999999995
POINT (-77.86799999999955 34.190999999999995),212,False,False,False,False,1000000.0,1000000.0,0,-77.86799999999955,34.190999999999995
POINT (-77.86699999999955 34.190999999999995),213,False,False,False,False,1000000.0,1000000.0,0,-77.86699999999955,34.190999999999995
POINT (-77.86599999999954 34.190999999999995),214,False,False,False,False,1000000.0,1000000.0,0,-77.86599999999954,34.190999999999995
POINT (-77.86499999999954 34.190999999999995),215,False,False,False,False,1000000.0,1000000.0,0,-77.86499999999954,34.190999999999995
POINT (-77.86399999999954 34.190999999999995),216,False,False,False,False,1000000.0,1000000.0,0,-77.86399999999954,34.190999999999995
POINT (-77.86299999999953 34.190999999999995),217,False,False,False,False,1000000.0,1000000.0,0,-77.86299999999953,34.190999999999995
POINT (-77.86199999999953 34.190999999999995),218,False,False,False,False,1000000.0,1000000.0,0,-77.86199999999953,34.190999999999995
POINT (-77.86099999999952 34.190999999999995),219,False,False,False,False,1000000.0,1000000.0,0,-77.86099999999952,34.190999999999995
POINT (-77.85999999999952 34.190999999999995),220,False,False,False,False,1000000.0,1000000.0,0,-77.85999999999952,34.190999999999995
POINT (-77.85899999999951 34.190999999999995),221,False,False,False,False,1000000.0,1000000.0,0,-77.85899999999951,34.190999999999995
POINT (-77.8579999999995 34.190999999999995),222,False,False,False,False,1000000.0,1000000.0,0,-77.8579999999995,34.190999999999995
POINT (-77.8569999999995 34.190999999999995),223,False,False,False,False,1000000.0,1000000.0,0,-77.8569999999995,34.190999999999995
